ref,color_en,color_fr,genre,name,description_en,description_fr,image
GX0027,,BLANC / BLEU UNISEXE,UNISEX,AD COURT,,Pas le temps pour le drama.Opte pour le look classique et profite d’une foulée fluide toute la journée. Cette chaussure inspirée du tennis a tout pour plaire. Une palette de couleurs vintage lui donne un look rétro. Sa tige en cuir souple est ornée de touches de suède pour plus de texture et d'un drapeau Union Jack sur le côté pour un look 100 % Reebok.,GX0027.jpg
FX1356,,BLANC / VERT UNISEXE,UNISEX,AD COURT,,Domine le court. Même si pour toi le court c'est la rue. Cette chaussure Reebok s'inspire de l'univers du tennis des années 80. La tige en cuir souple est joliment mise en valeur par une touche de suède sur le renfort talon et des pops contrastants. La classe.,FX1356.jpg
GX0028,,BLANC / GOLD UNISEXE,UNISEX,AD COURT,,Pas le temps pour le drama.Opte pour le look classique et profite d’une foulée fluide toute la journée. Cette chaussure inspirée du tennis a tout pour plaire. Une palette de couleurs vintage lui donne un look rétro. Sa tige en cuir souple est ornée de touches de suède pour plus de texture et d'un drapeau Union Jack sur le côté pour un look 100 % Reebok.,GX0028.jpg
GX0026,,BLANC / ROUGE UNISEXE,UNISEX,AD COURT,,Pas le temps pour le drama.Opte pour le look classique et profite d’une foulée fluide toute la journée. Cette chaussure inspirée du tennis a tout pour plaire. Une palette de couleurs vintage lui donne un look rétro. Sa tige en cuir souple est ornée de touches de suède pour plus de texture et d'un drapeau Union Jack sur le côté pour un look 100 % Reebok.,GX0026.jpg
GY2713,,ROUGE / NOIR,UNISEX,BB 4000,,"Quand les compétitions internationales de basket reprendront, tu seras paré.e. Cette BB 4000 de Reebok saura te mettre dans l'ambiance. Affiche un style unique avec sa tige en cuir souple.",GY2713.jpg
S24169,,NOIR,UNISEX,CL LEGACY,,Il y a tellement de choses merveilleuses à découvrir. Pourquoi attendre ? Explore les grands espaces avec ce modèle Reebok authentique. Emprunte des chemins de randonnée ou parcours la ville avec son design inspiré de la nature. C'est parti !,S24169.jpg
GW3376,,MULTICOLOR,UNISEX,CL LEGACY JELLY BEANS,,"Un design gourmand qu'on a envie de croquer ! Le look alléchant de cette Classic Leather Legacy rend hommage aux Jelly Belly. Mixe les styles avec son mélange de couleurs inspiré de la réglisse, du tutti frutti et d'autres saveurs. Son dégradé à effet ombré lui donne un look succulent. Miam !",GW3376.jpg
S24171,,GRIS,UNISEX,CL LEGACY,,Il y a tellement de choses merveilleuses à découvrir. Pourquoi attendre ? Explore les grands espaces avec ce modèle Reebok authentique. Emprunte des chemins de randonnée ou parcours la ville avec son design inspiré de la nature. C'est parti !,S24171.jpg
S24173,,HAPPY CAMPER,UNISEX,CL LEGACY HAPPY CAMPER,,Il y a tellement de choses merveilleuses à découvrir. Pourquoi attendre ? Explore les grands espaces avec ce modèle Reebok authentique. Emprunte des chemins de randonnée ou parcours la ville avec son design inspiré de la nature. C'est parti !,S24173.jpg
GW9968,,SEPIA,UNISEX,CL LEGACY,,Sa devise : toujours plus de texture. Imagine le mix parfait entre mode et fonctionnalité. Dynamise tes looks avec cette Classic Leather Legacy. Sa tige allie cuir souple et toile anti-déchirures imperméable. Elle propose deux styles en un... du pur genie !,GW9968.jpg
GX7568,,SILVER,UNISEX,CL Legacy AZ,,"Adopte un modèle Reebok iconique. La Classic Leather Legacy AZ est une chaussure stylée et durable, idéale pour le futur. Son look old-school va te faire craquer.",GX7568.jpg
GX7569,,VERT,UNISEX,CL Legacy AZ,,"Adopte un modèle Reebok iconique. La Classic Leather Legacy AZ est une chaussure stylée et durable, idéale pour le futur. Son look old-school va te faire craquer.",GX7569.jpg
H69119,,BLEU,UNISEX,CL Legacy AZ,,Un pantalon pattes d'éph et un esprit révolutionnaire. Passe en mode groovy avec cette Classic Leather Legacy AZ de Reebok. Ses coloris vintage et sa tige texturée lui donnent un look rétro. Il ne te manque plus qu'une boule à facettes.,H69119.jpg
G55281,,BORDEAUX,UNISEX,CL Legacy AZ,,Un pantalon pattes d'éph et un esprit révolutionnaire. Passe en mode groovy avec cette Classic Leather Legacy AZ de Reebok. Ses coloris vintage et sa tige texturée lui donnent un look rétro. Il ne te manque plus qu'une boule à facettes.,G55281.jpg
GY8052,,PRINCE,UNISEX,CLUB C 85 PRINCE,,"Affiche un style OG inspiré des courts de tennis. Cette Club C 85 de Reebok est le fruit d'une collaboration avec la marque de tennis légendaire Prince. Elle affiche des couleurs inspirées des parties de tennis qui se déroulent à New York. Retourne-la pour voir la semelle extérieure en caoutchouc semi-translucide. Jeu, set et match.",GY8052.jpg
GW3388,,JELLY BEANS,UNISEX,INSTAPUMP FURY OG JELLY BEANS,,"Es-tu du genre à manger des bonbons Jelly Belly par poignées ? Si c'est le cas, cette Instapump Fury est faite pour toi. Les couleurs vives inspirées d'un mélange de saveurs comme le bleu myrtille, la prune et la cerise te donnent un look unique. Sa tige allie du nubuck synthétique doux à un tissu en canne à sucre.",GW3388.jpg
GY5871,,BLANC,UNISEX,REEBOK PREMIER ROAD MODERN,,"Inspirée des premiers modèles running de Reebok, cette chaussure est équipée d'une semelle intermédiaire double densité vraiment confortable et d'un renfort TPU pour gagner en stabilité. La tige monobloc moulée possède des empiècements en mesh pour un look tout en relief. Avec son design géométrique, elle ne risque pas de passer inaperçue.",GY5871.jpg
GY5630,,ROSE,UNISEX,REEBOK PREMIER ROAD MODERN,,"Inspirée des premiers modèles running de Reebok, cette chaussure est équipée d'une semelle intermédiaire double densité vraiment confortable et d'un renfort TPU pour gagner en stabilité. La tige monobloc moulée possède des empiècements en mesh pour un look tout en relief. Avec son design géométrique, elle ne risque pas de passer inaperçue.",GY5630.jpg
GY5869,,HYDRO GRIS,UNISEX,ZIG 3D STORM HYDRO,,"Ce modèle Reebok affiche un design élégant d'inspiration running, tourné vers le futur. Le mélange de matières vient structurer la tige tandis que l'amorti réactif offre une sensation de légèreté.",GY5869.jpg
H00114,,SEPIA,UNISEX,Zig Kinetica II Edge,,"Ose sortir des sentiers battus. Inspirée du style trail, cette chaussure t'accompagne dans toutes tes aventures. La semelle extérieure Vibram® Ecostep est dotée de crampons obliques pour une accroche optimale en montée comme en descente. Sa construction limite l'impact environnemental en réduisant d'au moins 30 % les matériaux vierges. La semelle intermédiaire Floatride Fuel et l'avant-pied Floatride Energy assurent un amorti dynamique. Les lacets élastiques avec stoppeur et le double passant au talon rappellent les chaussures d'escalade.",H00114.jpg
H00064,,NOIR,UNISEX,Zig Kinetica II Edge,,"Ose sortir des sentiers battus. Inspirée du style trail, cette chaussure t'accompagne dans toutes tes aventures. La semelle extérieure Vibram® Ecostep est dotée de crampons obliques pour une accroche optimale en montée comme en descente. Sa construction limite l'impact environnemental en réduisant d'au moins 30 % les matériaux vierges. La semelle intermédiaire Floatride Fuel et l'avant-pied Floatride Energy assurent un amorti dynamique. Les lacets élastiques avec stoppeur et le double passant au talon rappellent les chaussures d'escalade.",H00064.jpg
G57695,,GRIS,UNISEX,Zig Kinetica II Edge,,"Ose sortir des sentiers battus. Inspirée du style trail, cette chaussure t'accompagne dans toutes tes aventures. La semelle extérieure Vibram® Ecostep est dotée de crampons obliques pour une accroche optimale en montée comme en descente. Sa construction limite l'impact environnemental en réduisant d'au moins 30 % les matériaux vierges. La semelle intermédiaire Floatride Fuel et l'avant-pied Floatride Energy assurent un amorti dynamique. Les lacets élastiques avec stoppeur et le double passant au talon rappellent les chaussures d'escalade.",G57695.jpg
GX0029,,BLANC / ROUGE,FEMME,AD COURT,,Pas le temps pour le drama. Opte pour le look classique et profite d’une foulée fluide toute la journée. Cette chaussure Reebok pour femme a tout prévu. La palette de couleurs vintage lui donne un look rétro. Sa tige en cuir souple est ornée de touches de suède pour plus de texture et d'un drapeau Union Jack sur la languette. 100 % Reebok.,GX0029.jpg
GX0030,,BLANC / NOIR ,FEMME,AD COURT,,Pas le temps pour le drama. Opte pour le look classique et profite d’une foulée fluide toute la journée. Cette chaussure Reebok pour femme a tout prévu. La palette de couleurs vintage lui donne un look rétro. Sa tige en cuir souple est ornée de touches de suède pour plus de texture et d'un drapeau Union Jack sur la languette. 100 % Reebok.,GX0030.jpg
H00686,,BLANC,FEMME,CL CARDI,,"Dans le plus pur style Cardi et 100 % Reebok. Chaque aspect de cette chaussure en cuir pour femme s'inspire de la personnalité de la rappeuse. Les détails transparents symbolisent son franc-parler. Le coloris audacieux évoque sa personnalité. Son design asymétrique représente sa vie à cent à l'heure. La semelle intermédiaire compensée et les crampons sur la semelle extérieure s'inspirent de son audace. Ultra original, ce modèle est fidèle à l'esprit Cardi B.",H00686.jpg
GX8559,,ROSE,FEMME,CL CARDI,,"Dans le plus pur style Cardi et 100 % Reebok. Chaque aspect de cette chaussure en cuir pour femme s'inspire de la personnalité de la rappeuse. Les détails transparents symbolisent son franc-parler. Le coloris audacieux évoque sa personnalité. Son design asymétrique représente sa vie à cent à l'heure. La semelle intermédiaire compensée et les crampons sur la semelle extérieure s'inspirent de son audace. Ultra original, ce modèle est fidèle à l'esprit Cardi B.",GX8559.jpg
H00683,,ROUGE,FEMME,CL CARDI,,"Dans le plus pur style Cardi et 100 % Reebok. Chaque aspect de cette chaussure en cuir pour femme s'inspire de la personnalité de la rappeuse. Les détails transparents symbolisent son franc-parler. Le coloris audacieux évoque sa personnalité. Son design asymétrique représente sa vie à cent à l'heure. La semelle intermédiaire compensée et les crampons sur la semelle extérieure s'inspirent de son audace. Ultra original, ce modèle est fidèle à l'esprit Cardi B.",H00683.jpg
GW2912,,GOLD,FEMME,CL CARDI,,"Dans le plus pur style Cardi et 100 % Reebok. Chaque aspect de cette chaussure en cuir pour femme s'inspire de la personnalité de la rappeuse. Les détails transparents symbolisent son franc-parler. Le coloris audacieux évoque sa personnalité. Son design asymétrique représente sa vie à cent à l'heure. La semelle intermédiaire compensée et les crampons sur la semelle extérieure s'inspirent de son audace. Ultra original, ce modèle est fidèle à l'esprit Cardi B.",GW2912.jpg
H00685,,VERT,FEMME,CL CARDI,,"Dans le plus pur style Cardi et 100 % Reebok. Chaque aspect de cette chaussure en cuir pour femme s'inspire de la personnalité de la rappeuse. Les détails transparents symbolisent son franc-parler. Le coloris audacieux évoque sa personnalité. Son design asymétrique représente sa vie à cent à l'heure. La semelle intermédiaire compensée et les crampons sur la semelle extérieure s'inspirent de son audace. Ultra original, ce modèle est fidèle à l'esprit Cardi B.",H00685.jpg
GZ7397,,ROUGE,FEMME,CL LEGACY,,"Cette chaussure pour femme t'offre un style Reebok authentique. Elle affiche des bords dentelés, des bandes latérales contrastées et une semelle intermédiaire audacieuse. Des touches de couleurs et une tige en nylon bicolore qui change de couleur complètent le look.",GZ7397.jpg
GZ7396,,NOIR,FEMME,CL LEGACY,,"Cette chaussure pour femme t'offre un style Reebok authentique. Elle affiche des bords dentelés, des bandes latérales contrastées et une semelle intermédiaire audacieuse. Des touches de couleurs et une tige en nylon bicolore qui change de couleur complètent le look.",GZ7396.jpg
H68660,,BEIGE,FEMME,CL Legacy AZ,,"Bien sûr, tu pourrais te fondre dans la masse. Mais franchement, quel interêt ? Impose ton style avec cette chaussure Reebok pour femme. Ses touches de couleurs vives rehaussent ton look Un talon compensé inversé et une semelle intermédiaire en EVA ajouré ajoutent une touche vintage. Que demander de plus ?",H68660.jpg
GX7571,,VEGAN LILAS,FEMME,CLUB C 85 VEGAN,,Comment améliorer un classique OG ? En proposant une version vegan. Cette Club C 85 pour femme ultra-épurée affiche un look flashy qui ne passera pas inaperçu. Elle est ornée d'un logo Reebok emblématique et du drapeau Union Jack pour un style indémodable.,GX7571.jpg
GX7570,,VEGAN ROSE,FEMME,CLUB C 85 VEGAN,,Comment améliorer un classique OG ? En proposant une version vegan. Cette Club C 85 pour femme ultra-épurée affiche un look flashy qui ne passera pas inaperçu. Elle est ornée d'un logo Reebok emblématique et du drapeau Union Jack pour un style indémodable.,GX7570.jpg
GW0854,,DOUBLE BLANC / BLANC,FEMME,CLUB C DOUBLE,,"Jeu, set et match. Ce modèle pour femme s'inspire de l'univers du tennis et affiche une semelle massive qui te fait prendre de la hauteur. Sa tige épurée est fabriquée en cuir souple pour un look soigné.",GW0854.jpg
FV5658,,DOUBLE BLANC / GOMME,FEMME,CLUB C DOUBLE,,"Jeu, set et match. Ce modèle pour femme s'inspire de l'univers du tennis et affiche une semelle massive qui te fait prendre de la hauteur. Sa tige épurée est fabriquée en cuir souple pour un look soigné.",FV5658.jpg
GZ9930,,DOUBLE BLANC / GRIS,FEMME,CLUB C DOUBLE,,"Look féroce ou allure classique, cette Club C Double pour femme s'adapte à tes envies. Elle affiche des détails emblématiques comme un drapeau Union Jack dans la fenêtre et un logo Vector. La tige en cuir souple ajoute une touche OG.",GZ9930.jpg
H67347,,GEO BLANC / MARRON,FEMME,Club C Double GEO,,"Épurée, stylée et conçue pour atteindre de nouveaux sommets (grâce à sa semelle intermédiaire compensée). 100 % Reebok. Cette chaussure pour femme d'inspiration tennis s'associe parfaitement à toutes tes tenues. Des touches de couleur dynamisent son style et la tige en cuir souple apporte tout le confort nécessaire.",H67347.jpg
H69140,,GEO BLANC,FEMME,Club C Double GEO,,"Simple et classique, comme toi. Adopte cette chaussure Reebok et impose ton style. Associe-la à une tenue sobre ou à un look plus audacieux qui matchera avec la semelle intermédiaire compensée. Dans tous les cas, tu vas assurer.",H69140.jpg
H69142,,GEO NOIR,FEMME,Club C Double GEO,,"Simple et classique, comme toi. Adopte cette chaussure Reebok et impose ton style. Associe-la à une tenue sobre ou à un look plus audacieux qui matchera avec la semelle intermédiaire compensée. Dans tous les cas, tu vas assurer.",H69142.jpg
H69145,,GEO ROSE,FEMME,Club C Double GEO,,"Simple et classique, comme toi. Adopte cette chaussure Reebok et impose ton style. Associe-la à une tenue sobre ou à un look plus audacieux qui matchera avec la semelle intermédiaire compensée. Dans tous les cas, tu vas assurer.",H69145.jpg
H67348,,GEO BLANC / VERT,FEMME,Club C Double GEO,,"Simple et classique, comme toi. Adopte cette chaussure Reebok et impose ton style. Associe-la à une tenue sobre ou à un look plus audacieux qui matchera avec la semelle intermédiaire compensée. Dans tous les cas, tu vas assurer.",H67348.jpg
GY8054,,PRINCE JAUNE,HOMME,Club C Revenge PRINCE,,"Affiche un style OG inspiré des courts de tennis. Cette Club C Revenge pour homme de Reebok est le fruit d'une collaboration avec la marque de tennis légendaire Prince. Elle affiche des couleurs inspirées des parties de tennis qui se déroulent à New York. Retourne-la pour voir la semelle extérieure en caoutchouc semi-translucide. Jeu, set et match.",GY8054.jpg
GV8263,,JELLY BEANS,HOMME,Club C Revenge JELLY BEANS,,Es-tu du genre à manger des bonbons Jelly Belly par poignées ? Alors enfile cette Club C Revenge pour homme et profite d'un mélange de saveurs. Les couleurs évoquent des goûts comme Cotton Candy et Island Punch. Des détails dégradés et des empiècements fantaisistes rendent ton look encore plus délicieux.,GV8263.jpg
GX6120,,SPEARMINNT,HOMME,KAMIKAZE II LOW,,Avis aux fans de basket rétro. Ressens toute la puissance des joueurs de légende dès que tu enfiles cette chaussure Kamikaze II Low pour homme. Nous avons ressorti ces pépites de nos archives rien que pour toi. Son design ultra-contrasté te permet de rester stylé du matin au soir. Tu vas pouvoir enchaîner les dunks avec style.,GX6120.jpg
