ref;color_en;color_fr;genre;name;description_en;description_fr;image
DV6434;White;Blanc;UNISEXE;CLUB C 1985 TV;"CLASSIC COURT-INSPIRED STYLE WITH A CLEAN LOOK
Taking their cue from the '80s court classic, these shoes are all about simplicity. They have a leather upper and a timeless easy-to-wear style. The EVA midsole gives you lightweight cushioning.

Leather upper
Removable EVA foam sockliner accommodates orthotics
Die-cut EVA midsole for lightweight cushioning
Durable rubber outsole
Imported
Product color: Chalk / Paperwhite / Glen Green
Product code: DV6434";"UN MODÈLE CLASSIQUE ET ÉPURÉ INSPIRÉ DES COURTS
Puisant son inspiration dans l'univers du tennis des années 80, cette chaussure est un bijou de sobriété. Avec sa tige en cuir et sa silhouette intemporelle, elle s'associera avec toutes vos tenues pour un look décontracté. De plus, sa semelle intermédiaire en EVA vous garantit un amorti aérien.

Tige en cuir.
Semelle intérieure amovible en EVA, adaptée au port d’orthèses.
Semelle intermédiaire en EVA ajouré pour un bon amorti en toute légèreté.
Semelle extérieure en caoutchouc résistant.
Couleur du produit : Chalk / Paperwhite / Glen Green
Code du produit : DV6434";DV6434.jpg
FX1338;Black;Noir;UNISEXE;AD COURT;"A VINTAGE-INSPIRED SHOE WITH COLORFUL DETAILS
Sharpen your style with this Reebok model that compiles the best of the 80s. The ultra-soft leather upper and old-school details make it look great. The colorful accents on the heel and tongue add some pep. Turn it over and discover the unique outsole design inspired by tennis nets.

Lace Closure
Leather upper
Sensation of softness
Fleece lining
Durable rubber outsole with an EVA insert
Product Color: Cloud White / Core Black / White
Product Code: FX1338
";"UNE CHAUSSURE D'INSPIRATION VINTAGE AUX DÉTAILS COLORÉS
Aiguise ton style avec ce modèle Reebok qui compile le meilleur des années 80. La tige en cuir ultra-doux et les détails old-school lui donnent fière allure. Les touches de couleur sur le talon et la languette ajoutent du peps. Retourne-le et découvre le design unique de sa semelle extérieure qui s'inspire des filets de tennis.

Fermeture à lacets.
Tige en cuir.
Sensation de douceur.
Doublure en molleton.
Semelle extérieure en caoutchouc résistant avec un empiècement en EVA.
Couleur du produit : Cloud White / Core Black / White
Code du produit : FX1338";FX1338.jpg
FX1340;Red;Rouge;UNISEXE;AD COURT;"A VINTAGE-INSPIRED SHOE WITH COLORFUL DETAILS
Sharpen your style with this Reebok model that compiles the best of the 80s. The ultra-soft leather upper and old-school details make it look great. The colorful accents on the heel and tongue add some pep. Turn it over and discover the unique outsole design inspired by tennis nets.

Lace Closure
Leather upper
Sensation of softness
Fleece lining
Durable rubber outsole with an EVA insert
Product Color: Cloud White / Collegiate Royal / Vector Red
Product Code: FX1340";"UNE CHAUSSURE D'INSPIRATION VINTAGE AUX DÉTAILS COLORÉS
Aiguise ton style avec ce modèle Reebok qui compile le meilleur des années 80. La tige en cuir ultra-doux et les détails old-school lui donnent fière allure. Les touches de couleur sur le talon et la languette ajoutent du peps. Retourne-le et découvre le design unique de sa semelle extérieure qui s'inspire des filets de tennis.

Fermeture à lacets.
Tige en cuir.
Sensation de douceur.
Doublure en molleton.
Semelle extérieure en caoutchouc résistant avec un empiècement en EVA.
Couleur du produit : Cloud White / Collegiate Royal / Vector Red
Code du produit : FX1340";FX1340.jpg
FY9395;Green;Vert;UNISEXE;AD COURT;"A VINTAGE-INSPIRED SHOE WITH COLORFUL DETAILS
Sharpen your style with this Reebok model that compiles the best of the 80s. The ultra-soft leather upper and old-school details make it look great. The colorful accents on the heel and tongue add some pep. Turn it over and discover the unique outsole design inspired by tennis nets.

Lace Closure
Leather upper
Sensation of softness
Fleece lining
Durable rubber outsole with an EVA insert
Product Color: Cloud White / Glen Green / Cloud White
Product Code: FY9395";"UNE CHAUSSURE D'INSPIRATION VINTAGE AUX DÉTAILS COLORÉS
Aiguise ton style avec ce modèle Reebok qui compile le meilleur des années 80. La tige en cuir ultra-doux et les détails old-school lui donnent fière allure. Les touches de couleur sur le talon et la languette ajoutent du peps. Retourne-le et découvre le design unique de sa semelle extérieure qui s'inspire des filets de tennis.

Fermeture à lacets.
Tige en cuir.
Sensation de douceur.
Doublure en molleton.
Semelle extérieure en caoutchouc résistant avec un empiècement en EVA.
Couleur du produit : Cloud White / Glen Green / Cloud White
Code du produit : FY9395";FY9395.jpg
FY9396;Blue;Bleu;UNISEXE;AD COURT;"A VINTAGE-INSPIRED SHOE WITH COLORFUL DETAILS
Sharpen your style with this Reebok model that compiles the best of the 80s. The ultra-soft leather upper and old-school details make it look great. The colorful accents on the heel and tongue add some pep. Turn it over and discover the unique outsole design inspired by tennis nets.

Lace Closure
Leather upper
Sensation of softness
Fleece lining
Durable rubber outsole with an EVA insert
Product Color: Cloud White / Athletic Blue / Cloud White
Product Code: FY9396";"UNE CHAUSSURE D'INSPIRATION VINTAGE AUX DÉTAILS COLORÉS
Aiguise ton style avec ce modèle Reebok qui compile le meilleur des années 80. La tige en cuir ultra-doux et les détails old-school lui donnent fière allure. Les touches de couleur sur le talon et la languette ajoutent du peps. Retourne-le et découvre le design unique de sa semelle extérieure qui s'inspire des filets de tennis.

Fermeture à lacets.
Tige en cuir.
Sensation de douceur.
Doublure en molleton.
Semelle extérieure en caoutchouc résistant avec un empiècement en EVA.
Couleur du produit : Cloud White / Athletic Blue / Cloud White
Code du produit : FY9396";FY9396.jpg
FY9332;Multicolor;Multicolor;UNISEXE;INSTAPUMP FURY OG;"THROWBACK REEBOK SHOES WITH A STRIKING, COLORFUL DESIGN
You talk a good game. Back it up with these fearless Reebok Instapump Fury OG shoes. Eye-popping shades and an ombré effect prove that you live life in technicolor. The TPU shank in the split sole echoes old-school video game cartridges. Because no one can call you a poser.

Slip-on with The Pump customizable fit
Textile and synthetic upper
Hexalite hexagonal cushioning
EVA midsole
Rubber outsole
Imported
Product color: True Grey 7 / True Grey 8 / Alert Yellow
Product code: FY9332";"UNE CHAUSSURE REEBOK RÉTRO AVEC UN DESIGN COLORÉ
Ton look est déjà férocement stylé. Il ne te manque plus que cette Reebok Instapump Fury OG pour le propulser au sommet. Avec ses teintes vitaminées et son effet ombré, elle ose l’exubérance, et on adore. Le renfort en TPU de la semelle fendue rappelle les cartouches des jeux vidéo old-school. Prépare-toi à faire des étincelles.Gonfle la membrane Pump pour ajuster le chaussant.

Tige textile et synthétique.
Amorti Hexalite hexagonal.
Semelle intermédiaire en EVA.
Semelle extérieure en caoutchouc.
Couleur du produit : True Grey 7 / True Grey 8 / Alert Yellow
Code du produit : FY9332";FY9332.jpg
FY0988;Yellow;Jaune;UNISEXE;INSTAPUMP FURY OG;"A SHOE INSPIRED BY OUR ARCHIVES WITH A 3D DESIGN
Take a leap into the future. This Instapump Fury OG features a truly revolutionary design. You'll love the cool, pixelated screen-like graphics. The neon colors take your style to the top.

No laces
3D textile inserts and leather inserts
Airy comfort
Soft hexagonal Hexalite cushioning
EVA midsole
Inflates the Pump membrane to adjust the fit
Rubber outsole
Product Color: Night Black / Yellow Flare / Vector Red
Product Code: FY0988";"UNE CHAUSSURE INSPIRÉE DE NOS ARCHIVES AVEC UN DESIGN EN 3D
Fais un bond dans le futur. Cette Instapump Fury OG présente un design vraiment révolutionnaire. Tu vas craquer pour ses motifs graphiques hyper frais aux allures d'écran pixélisé. Les coloris fluo propulsent ton style au sommet.

Sans lacets.
Empiècements textiles en 3D et empiècements en cuir.
Confort aérien.
Amorti Hexalite hexagonal et doux.
Semelle intermédiaire en EVA.
Gonfle la membrane Pump pour ajuster le chaussant.
Semelle extérieure en caoutchouc.
Couleur du produit : Night Black / Yellow Flare / Vector Red
Code du produit : FY0988";FY0988.jpg
FY6777;White;Blanc;UNISEXE;INSTAPUMP FURY OG;"A LEGENDARY SHOE INSPIRED BY VIDEO GAMES
Joysticks and grainy patterns. Even if you didn't know about retro video games, you'll fall for this Instapump Fury OG. The TPU upper looks like a game cartridge and will take you back to the good old days (even if you didn't... whatever). Get in the game with Reebok.

Inflates the Pump membrane to adjust the fit
Textile and synthetic upper
Soft hexagonal Hexalite cushioning
EVA midsole
Rubber outsole
Product Color: White / Morning Fog / Aqua Dust
Product Code: FY6777";"UNE CHAUSSURE LÉGENDAIRE INSPIRÉE PAR LES JEUX VIDÉO
Joysticks et motifs granuleux. Même si tu n'as pas connu les jeux vidéo rétro, tu vas craquer pour cette Instapump Fury OG. La tige en TPU aux allures de cartouches de jeu te ramènera au bon vieux temps (même si tu ne l'as pas connu... qu'importe). Entre dans le jeu avec Reebok.

Gonfle la membrane Pump pour ajuster le chaussant.
Tige textile et synthétique.
Amorti Hexalite hexagonal et doux.
Semelle intermédiaire légère en EVA.
Semelle extérieure en caoutchouc.
Couleur du produit : White / Morning Fog / Aqua Dust
Code du produit : FY6777";FY6777.jpg
FX9352;Noir;Noir;UNISEXE;Zig Kinetica II Concept 1;"
";;FX9352.jpg
FX9355;Gray;Gris;UNISEXE;Zig Kinetica II Concept 1;"A MODERN SHOE THAT PERFORMS LIKE A RUNNING SHOE
Shake things up. If you don't like following the rules, this pair from Reebok is for you. The breathable mesh upper has seamless areas to maximize comfort. The Floatride Fuel midsole wrapped in a soft TPU shell provides stable, dynamic cushioning.

Lace closure
Mesh upper
Breathable comfort and stability
Lightweight, responsive Floatride Fuel cushioning
Zig Energy Shell around the foam midsole
Zig Energy Bands outsole
Product Color: Core Black / True Grey / Energy Glow
Product Code: FX9355";"UNE CHAUSSURE MODERNE AUSSI PERFORMANTE QU'UN MODÈLE DE RUNNING
Bouscule les codes. Si tu n'aimes pas suivre les règles, cette paire de Reebok est pour toi. La tige en mesh respirant possède des zones sans coutures pour optimiser le confort. La semelle intermédiaire Floatride Fuel enveloppée dans une coque souple en TPU procure amorti stable et dynamisme.

Fermeture à lacets.
Tige en mesh.
Confort respirant et stabilité.
Amorti Floatride Fuel léger et réactif.
Zig Energy Shell autour de la semelle intermédiaire en mousse.
Semelle extérieure Zig Energy Bands.
Couleur du produit : Core Black / True Grey / Energy Glow
Code du produit : FX9355";FX9355.jpg
FX3010;Blue / Green;Bleu / Vert;UNISEXE;Zig Kinetica Edge;"A FUTURISTIC OUTDOOR-INSPIRED MODEL
Dare to go off the beaten path. Inspired by the trail style, this shoe comes with you on all your adventures. The textile upper and the ultra-sticky notched outsole make this a rugged shoe. The Floatride Fuel midsole provides superior cushioning with its soft, cushioning foam, and the Zig Energy Shell wraps around for added stability and support.
";"UN MODÈLE FUTURISTE D'INSPIRATION OUTDOOR
Ose sortir des sentiers battus. Inspirée du style trail, cette chaussure t'accompagne dans toutes tes aventures. Elle privilégie la robustesse avec sa tige textile et sa semelle extérieure crantée ultra-adhérante. La semelle intermédiaire Floatride Fuel procure un amorti supérieur avec sa mousse douce et amortissante, que la Zig Energy Shell vient envelopper pour ajouter stabilité et maintien.";FX3010.jpg
